list_name,name,label,link_group,link_maingroup,usercountry,curr_sdate,curr_fdate,curr_detail_link,,,,,,,,,,,
hazardsubtypes,haztechwaste,Waste,haztypetech,TECH-WASTE,,,,,,,,,,,,,,,
hazardsubtypes,haztechmarine,Marine,haztypetech,TECH-MARINE,,,,,,,,,,,,,,,
hazardsubtypes,haztechflood,Flood,haztypetech,TECH-FLOOD,,,,,,,,,,,,,,,
hazardsubtypes,haztechtransp,Transportation,haztypetech,TECH-TRANSP,,,,,,,,,,,,,,,
hazardsubtypes,hazsocconf,Conflict,haztypesoc,SOC-CONF,,,,,,,,,,,,,,,
hazardsubtypes,hazsocpostconf,Post-Conflict,haztypesoc,SOC-POSTCONF,,,,,,,,,,,,,,,
hazardsubtypes,hazsocbeh,Behavioural,haztypesoc,SOC-BEH,,,,,,,,,,,,,,,
hazardsubtypes,hazsoceco,Economic,haztypesoc,SOC-ECO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0001,Downburst,hazhmconv,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0002,Lightning (Electrical Storm),hazhmconv,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0003,Thunderstorm,hazhmconv,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0004,Coastal Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0005,Estuarine (Coastal) Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0006,Flash Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0007,Fluvial (Riverine) Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0008,Groundwater Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0009,Ice-Jam Flood Including Debris,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0010,Ponding (Drainage) Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0011,Snowmelt Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0012,Surface Water Flooding,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0013,Glacial Lake Outburst Flood,hazhmflood,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0014,Black Carbon (Brown Clouds),hazhmlitho,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0015,Dust storm or Sandstorm,hazhmlitho,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0016,Fog,hazhmlitho,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0017,Haze,hazhmlitho,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0018,Polluted Air,hazhmlitho,haztypehydromet,,,,,,,,,,,,,,,
